Register Field Name,CSV Field Name,API Field Name,HESA Alignment,Code,Label,Data Source,Academic Year,Status
Awarding Institution,Awarding Institution,institution,DEGEST,0254,Fairfield School of Business Ltd,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0255,London College of Business Studies,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0256,London School of Management Education,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0257,London School of Theology,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0258,St Mellitus College,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0260,Nelson College London Ltd,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0261,Northern College of Acupuncture,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0262,Pearson College,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0263,Royal Academy of Dance,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0264,Regents Theological College,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0265,SAE Education Limited,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0266,Slough Borough Council,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0267,Tottenham Hotspur Foundation,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0268,Access to Music Limited,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0269,Academy of Live and Recorded Arts,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0270,The College of Integrated Chinese Medicine,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0271,The City College,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0272,Met Film School Limited,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0273,Holborn College Limited,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0274,London Studio Centre,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0275,West London College of Business and Management Sciences Limited,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0276,London School of Academics Ltd,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0277,London Centre of Contemporary Music,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0278,Regent College,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0279,London School of Business and Finance (UK) Limited,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0280,Brit College,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0281,Futureworks,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0282,London Bridge Business Academy,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0283,St Patrick's International College,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0284,Chicken Shed Theatre Company,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0285,All Nations Christian College,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0287,Bristol Baptist College,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0288,The Cambridge Theological Federation,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0291,Christie's Education Limited,HESA,25/26,No Change
